Designator,Mid X,Mid Y,Rotation,Layer
C1,146.9,-76.9,270.0,top
C10,132.1,-87.25,90.0,top
C11,129.35,-71.95,90.0,top
C12,126.3,-67.5,180.0,top
C13,122.75,-71.95,90.0,top
C14,141.05,-95.6,90.0,top
C15,128.3,-95.3,270.0,top
C16,130.3,-95.3,270.0,top
C17,134.3,-95.85,270.0,top
C18,135.8,-95.825,270.0,top
C19,137.3,-95.825,270.0,top
C2,150.347975,-83.9,180.0,top
C20,139.05,-95.6,270.0,top
C21,143.05,-95.6,270.0,top
C22,145.05,-95.6,270.0,top
C23,146.8,-95.825,270.0,top
C24,128.25,-56.625,45.0,top
C25,162.55,-65.65,90.0,top
C26,137.8,-72.8,180.0,top
C27,140.503257,-75.608193,90.0,top
C28,142.5,-75.6,90.0,top
C3,142.25,-71.6,270.0,top
C4,140.75,-71.6,270.0,top
C5,151.35,-71.8,0.0,top
C6,157.375,-83.75,180.0,top
C7,151.5,-82.5,270.0,top
C8,145.904978,-65.7,270.0,top
C9,137.1,-81.9,270.0,top
D1,139.0,-89.85,270.0,top
D2,134.3,-89.85,90.0,top
D3,136.65,-89.85,90.0,top
IC1,150.75,-78.25,270.0,top
IC2,141.425,-58.0,0.0,top
J03,132.530693,-100.811386,180.0,top
J1,121.275,-111.93,270.0,top
J2,159.15,-77.9,0.0,top
J4,159.58833,-88.255474,0.0,top
J5,123.785,-57.95,270.0,top
L1,151.3,-73.65,0.0,top
L2,141.6,-82.45,270.0,top
L3,137.68,-78.35,180.0,top
Q1,132.1,-83.9875,270.0,top
R1,146.9,-81.175,270.0,top
R2,134.5,-82.75,270.0,top
R3,129.8,-82.75,270.0,top
R4,134.7,-77.1,270.0,top
R5,154.55,-65.525,0.0,top
R6,133.15,-64.975,180.0,top
R7,130.175,-64.975,180.0,top
R8,127.125,-64.225,90.0,top
SW2,120.5,-70.75,270.0,top
TH1,160.15,-83.95,270.0,top
TP1,124.0,-63.4,180.0,top
TP2,130.4,-116.0,180.0,top
TP3,147.0,-72.2,0.0,top
TP4,154.0,-90.6,0.0,top
TP5,154.0,-86.2,0.0,top
TP6,133.8,-116.0,180.0,top
TP7,147.4,-85.2,0.0,bottom
TP8,143.0,-87.0,0.0,bottom
U1,131.0,-111.4,180.0,top
U2,136.6,-75.88,90.0,top
U3,158.9625,-69.055,270.0,top
