Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4u7,C1779
"C10, C3",0402,2,1uF,C52923
"C11, C13, C14, C19, C20, C21, C24, C25, C27",0805,9,4u7/25V,C1779
"C12, C15, C16, C17, C18",0402,5,100nF,C1525
"C2, C5, C7, C8",0603,4,10uF,C19702
"C22, C23, C26, C28",0603,4,1uF/50V,C15849
"C4, C6",0805,2,22uF/25V,C45783
C9,0603,1,2u2,C23630
"D1, D2, D3",D_SOD-123,3,MBR0530,C77336
IC1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,1,NPM1300-QEAA-R,C7466043
IC2,ST-SiP-LGA-86-11x7.3mm,1,STM32WB5MMGH6TR,C5184586
J04,FPC-SMD_24P-P0.50_HC-FPC-05-09-24RLTAG,1,HC-FPC-05-09-24RLTAG,C5213757
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
J2,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,BATT_CON,C160403
J3,FPC-SMD_AFC01-S06FCC-00,1,JUSHUO AFC01-S06FCC-00,C262262
"L1, L2",IND-SMD_L2.0-W1.6,2,2.2uH,C71386 
L3,L_Sunlord_SWPA4030S,1,10uH1A,C497803
Q1,SOT-323_SC-70,1,Si1308EDL,C7603347
R1,0603,1,330K,C23137
R2,0402,1,267K,C270622 
"R3, R6, R7",0603,3,10K,C25804 
"R4, R5",0603,2,4.7K,C23162
R8,0603,1,0R47,C23411
SW1,KEY-SMD_4P-SKSCLXX010,1,SKSCLBE010,C115361
U1,SOT-23-6,1,USBLC6-2SC6,C2687116
U2,VSON-8_L2.0-W1.5-P0.50-BL,1,TPS62840DLCR,C2071859
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
