Designator,Mid X,Mid Y,Rotation,Layer
C1,136.075,-89.075,90.0,top
C10,145.5,-105.95,0.0,top
C11,148.875,-113.375,270.0,top
C12,145.375,-117.675,0.0,top
C13,142.2,-113.4,270.0,top
C14,140.9,-101.9,270.0,top
C15,125.2,-95.8,270.0,top
C16,127.2,-95.8,270.0,top
C17,129.0,-96.0,270.0,top
C18,130.5,-96.0,270.0,top
C19,132.0,-96.0,270.0,top
C2,141.0,-87.7,0.0,top
C20,133.716263,-95.778492,270.0,top
C21,136.79168,-95.784678,270.0,top
C22,138.777426,-95.784678,270.0,top
C23,140.5,-96.0,270.0,top
C24,151.793744,-109.776506,90.0,top
C25,120.765,-107.2875,180.0,top
C3,132.275,-81.975,180.0,top
C4,142.5,-84.675,0.0,top
C5,129.675,-84.25,90.0,top
C6,143.0,-86.9,270.0,top
C7,141.912824,-83.48879,0.0,top
C8,154.8,-109.0,270.0,top
C9,142.4,-99.2,180.0,top
D1,144.552872,-109.292171,270.0,top
D2,146.9,-109.3,90.0,top
D3,143.1,-102.6,270.0,top
IC1,136.925,-84.425,0.0,top
IC2,159.725,-114.65,180.0,top
J03,132.530693,-100.811386,180.0,top
J1,121.31,-86.7,270.0,top
J2,148.45,-85.9,180.0,top
J4,157.33833,-88.255474,0.0,top
J5,136.2,-118.635,180.0,top
L1,131.675,-84.275,90.0,top
L2,146.6,-102.6,270.0,top
Q1,123.8,-103.8,0.0,top
R1,139.275,-89.05,270.0,top
R2,120.8,-103.0,180.0,top
R3,120.8,-104.6,180.0,top
R5,125.865,-109.7875,90.0,top
R6,162.3,-105.1,180.0,top
R7,159.3,-105.1,180.0,top
R8,153.040636,-109.212219,270.0,top
SW2,162.345,-71.35,90.0,top
TH1,145.5,-81.7,180.0,top
TP1,151.45,-105.1,0.0,top
TP2,127.4,-90.7,0.0,top
TP3,127.6,-81.9,0.0,top
TP4,128.4,-119.0,0.0,top
TP5,154.4,-81.9,0.0,top
TP6,124.4,-119.0,0.0,top
TP7,162.55,-82.5,0.0,top
TP8,162.575,-80.275,0.0,top
U1,131.7,-91.0,90.0,top
U3,122.0,-112.6,180.0,top
